genero,respuesta
Action,"{'Usuario con más horas jugadas para Action': 'Sp3ctre', 'Horas jugadas': [{'Año': 1995, 'Horas': 3.6166666666666667}, {'Año': 2000, 'Horas': 14344.616666666667}, {'Año': 2007, 'Horas': 170.83333333333334}, {'Año': 2010, 'Horas': 5462.966666666666}, {'Año': 2011, 'Horas': 2355.766666666667}, {'Año': 2012, 'Horas': 1715.7333333333333}, {'Año': 2013, 'Horas': 895.6666666666667}, {'Año': 2014, 'Horas': 785.4}, {'Año': 2015, 'Horas': 1624.6}, {'Año': 2016, 'Horas': 212.29999999999998}, {'Año': 2017, 'Horas': 718.0333333333333}]}"
Adventure,"{'Usuario con más horas jugadas para Adventure': 'REBAS_AS_F-T', 'Horas jugadas': [{'Año': 2006, 'Horas': 0.0}, {'Año': 2009, 'Horas': 2644.3500000000004}, {'Año': 2010, 'Horas': 3789.2833333333333}, {'Año': 2011, 'Horas': 7975.233333333334}, {'Año': 2012, 'Horas': 5522.966666666666}, {'Año': 2013, 'Horas': 5229.9}, {'Año': 2014, 'Horas': 3264.866666666667}, {'Año': 2015, 'Horas': 2954.05}, {'Año': 2016, 'Horas': 4984.95}, {'Año': 2017, 'Horas': 29.833333333333336}]}"
Animation & Modeling,"{'Usuario con más horas jugadas para Animation & Modeling': 'ScottyG555', 'Horas jugadas': [{'Año': 2015, 'Horas': 2805.233333333333}]}"
Audio Production,"{'Usuario con más horas jugadas para Audio Production': 'Lickidactyl', 'Horas jugadas': [{'Año': 2014, 'Horas': 1831.9333333333334}]}"
Casual,"{'Usuario con más horas jugadas para Casual': 'REBAS_AS_F-T', 'Horas jugadas': [{'Año': 1999, 'Horas': 9.766666666666667}, {'Año': 2002, 'Horas': 36.833333333333336}, {'Año': 2007, 'Horas': 807.4166666666666}, {'Año': 2009, 'Horas': 177.58333333333334}, {'Año': 2010, 'Horas': 2149.7333333333336}, {'Año': 2011, 'Horas': 1641.5333333333333}, {'Año': 2012, 'Horas': 75.18333333333334}, {'Año': 2013, 'Horas': 5123.266666666666}, {'Año': 2014, 'Horas': 2273.233333333333}, {'Año': 2015, 'Horas': 2968.0833333333335}, {'Año': 2016, 'Horas': 5151.95}, {'Año': 2017, 'Horas': 0.9833333333333333}]}"
Design & Illustration,"{'Usuario con más horas jugadas para Design & Illustration': 'ScottyG555', 'Horas jugadas': [{'Año': 2015, 'Horas': 2805.233333333333}]}"
Early Access,"{'Usuario con más horas jugadas para Early Access': '76561197978756659', 'Horas jugadas': [{'Año': 2013, 'Horas': 5279.766666666666}, {'Año': 2015, 'Horas': 3.05}]}"
Education,"{'Usuario con más horas jugadas para Education': '76561198059330972', 'Horas jugadas': [{'Año': 2013, 'Horas': 1090.45}]}"
Free to Play,"{'Usuario con más horas jugadas para Free to Play': 'idonothack', 'Horas jugadas': [{'Año': 2003, 'Horas': 0.0}, {'Año': 2011, 'Horas': 0.13333333333333333}, {'Año': 2012, 'Horas': 30.2}, {'Año': 2013, 'Horas': 1.0666666666666667}, {'Año': 2014, 'Horas': 2201.7999999999997}, {'Año': 2015, 'Horas': 11226.1}, {'Año': 2016, 'Horas': 0.0}, {'Año': 2017, 'Horas': 11.383333333333333}]}"
Indie,"{'Usuario con más horas jugadas para Indie': 'REBAS_AS_F-T', 'Horas jugadas': [{'Año': 1999, 'Horas': 9.766666666666667}, {'Año': 2006, 'Horas': 1479.15}, {'Año': 2009, 'Horas': 7752.500000000001}, {'Año': 2010, 'Horas': 4319.833333333334}, {'Año': 2011, 'Horas': 9940.85}, {'Año': 2012, 'Horas': 319.0}, {'Año': 2013, 'Horas': 4095.05}, {'Año': 2014, 'Horas': 4665.683333333333}, {'Año': 2015, 'Horas': 4057.75}, {'Año': 2016, 'Horas': 3380.483333333333}, {'Año': 2017, 'Horas': 29.833333333333336}]}"
Massively Multiplayer,"{'Usuario con más horas jugadas para Massively Multiplayer': 'Evilutional', 'Horas jugadas': [{'Año': 2012, 'Horas': 11168.15}, {'Año': 2013, 'Horas': 0.6333333333333333}, {'Año': 2015, 'Horas': 105.2}, {'Año': 2016, 'Horas': 21.516666666666666}, {'Año': 2017, 'Horas': 175.5}]}"
Photo Editing,"{'Usuario con más horas jugadas para Photo Editing': 'Sky_Wolf', 'Horas jugadas': [{'Año': 2014, 'Horas': 364.75}]}"
RPG,"{'Usuario con más horas jugadas para RPG': 'shinomegami', 'Horas jugadas': [{'Año': 2001, 'Horas': 0.0}, {'Año': 2003, 'Horas': 8848.033333333333}, {'Año': 2005, 'Horas': 22.099999999999998}, {'Año': 2007, 'Horas': 1415.65}, {'Año': 2009, 'Horas': 7.25}, {'Año': 2010, 'Horas': 61.83333333333333}, {'Año': 2011, 'Horas': 3669.316666666667}, {'Año': 2012, 'Horas': 302.4166666666667}, {'Año': 2013, 'Horas': 1303.7333333333333}, {'Año': 2014, 'Horas': 1252.3333333333333}, {'Año': 2015, 'Horas': 770.0833333333334}, {'Año': 2016, 'Horas': 22.016666666666666}, {'Año': 2017, 'Horas': 1.7666666666666666}]}"
Racing,"{'Usuario con más horas jugadas para Racing': 'DownSyndromeKid', 'Horas jugadas': [{'Año': 1994, 'Horas': 2.816666666666667}, {'Año': 1995, 'Horas': 6.883333333333334}, {'Año': 2006, 'Horas': 11081.983333333334}, {'Año': 2013, 'Horas': 1248.9333333333334}, {'Año': 2014, 'Horas': 2.6}, {'Año': 2015, 'Horas': 44.449999999999996}, {'Año': 2016, 'Horas': 3.083333333333333}]}"
Simulation,"{'Usuario con más horas jugadas para Simulation': 'jimmynoe', 'Horas jugadas': [{'Año': 2006, 'Horas': 9229.183333333332}, {'Año': 2010, 'Horas': 0.0}, {'Año': 2011, 'Horas': 6968.450000000001}, {'Año': 2012, 'Horas': 188.86666666666667}, {'Año': 2013, 'Horas': 10.65}, {'Año': 2014, 'Horas': 0.0}, {'Año': 2015, 'Horas': 1304.9833333333333}, {'Año': 2016, 'Horas': 0.03333333333333333}, {'Año': 2017, 'Horas': 0.0}]}"
Software Training,"{'Usuario con más horas jugadas para Software Training': 'Lickidactyl', 'Horas jugadas': [{'Año': 2014, 'Horas': 1831.9333333333334}]}"
Sports,"{'Usuario con más horas jugadas para Sports': '76561197995725436', 'Horas jugadas': [{'Año': 2012, 'Horas': 682.35}, {'Año': 2013, 'Horas': 2537.75}]}"
Strategy,"{'Usuario con más horas jugadas para Strategy': 'shinomegami', 'Horas jugadas': [{'Año': 2001, 'Horas': 0.0}, {'Año': 2003, 'Horas': 8848.033333333333}, {'Año': 2006, 'Horas': 40.46666666666667}, {'Año': 2008, 'Horas': 1455.15}, {'Año': 2009, 'Horas': 1052.4333333333332}, {'Año': 2010, 'Horas': 3272.7000000000003}, {'Año': 2011, 'Horas': 1116.5}, {'Año': 2012, 'Horas': 91.6}, {'Año': 2013, 'Horas': 744.4000000000001}, {'Año': 2014, 'Horas': 1362.65}, {'Año': 2015, 'Horas': 1019.8166666666667}, {'Año': 2016, 'Horas': 22.016666666666666}, {'Año': 2017, 'Horas': 0.0}]}"
Utilities,"{'Usuario con más horas jugadas para Utilities': '76561198073642113', 'Horas jugadas': [{'Año': 2014, 'Horas': 3460.85}]}"
Video Production,"{'Usuario con más horas jugadas para Video Production': 'ScottyG555', 'Horas jugadas': [{'Año': 2015, 'Horas': 2805.233333333333}]}"
Web Publishing,"{'Usuario con más horas jugadas para Web Publishing': 'Xyphien', 'Horas jugadas': [{'Año': 2005, 'Horas': 121.6}, {'Año': 2012, 'Horas': 2261.133333333333}]}"
