año,app_name,id
2011,Killing Floor,1250
2011,Zeno Clash,22200
2015,Risk of Rain,248820
2015,TIS-100,370360
2014,Transistor,237930
2014,Space Pirates and Zombies,107200
2014,Gnomoria,224500
2013,The Wolf Among Us,250320
2012,The Witcher 2: Assassins of Kings Enhanced Edition,20920
2012,Max Payne 3,204100
2014,Defiance,224600
2012,Alan Wake,108710
2014,DARK SOULS™: Prepare To Die™ Edition,211420
2013,Starbound,211820
2014,Counter-Strike: Global Offensive,730
2013,Awesomenauts - the 2D moba,204300
2012,Left 4 Dead 2,550
2012,Half-Life 2,220
2015,Counter-Strike: Global Offensive,730
2014,Team Fortress 2,440
2015,Rocket League®,252950
2015,Team Fortress 2,440
2014,Unturned,304930
2013,Garry's Mod,4000
2012,Magicka,42910
2015,Killing Floor 2,232090
2015,Killing Floor,1250
2014,Garry's Mod,4000
2013,No More Room in Hell,224260
2013,Killing Floor,1250
2012,Team Fortress 2,440
2015,Counter-Strike: Global Offensive,730
2014,Team Fortress 2,440
2015,Kerbal Space Program,220200
2014,Starbound,211820
2014,Team Fortress 2,440
2014,Pid,218740
2015,Left 4 Dead 2,550
2015,Half-Life 2,220
2015,Sniper Elite 3,238090
2014,Halo: Spartan Assault,277430
2015,BioShock Infinite,8870
2015,Garry's Mod,4000
2013,Arma 2: Operation Arrowhead,33930
2015,Chivalry: Medieval Warfare,219640
2015,Mini Metro,287980
2015,Loadout,208090
2014,Injustice: Gods Among Us Ultimate Edition,242700
2014,No More Room in Hell,224260
2015,DayZ,221100
2014,Everlasting Summer,331470
2014,Garry's Mod,4000
2015,TERA,323370
2014,Unturned,304930
2014,Mount & Blade: Warband,48700
2015,BattleBlock Theater®,238460
2015,Bad Rats: the Rats' Revenge,34900
2015,Counter-Strike: Global Offensive,730
2014,Team Fortress 2,440
2015,South Park™: The Stick of Truth™,213670
2015,Counter-Strike: Global Offensive,730
2012,Portal 2,620
2015,Garry's Mod,4000
2015,Double Action: Boogaloo,317360
2015,Cry of Fear,223710
2015,Block N Load,299360
2015,Don't Starve Together,322330
2015,Killing Floor,1250
2015,Grand Theft Auto III,12100
2015,Castle Crashers®,204360
2013,No More Room in Hell,224260
2012,Team Fortress 2,440
2015,Team Fortress 2,440
2015,Source Filmmaker,1840
2013,Team Fortress 2,440
2015,Team Fortress 2,440
2015,Istrolid,449140
2015,No Time To Explain Remastered,368730
2015,Orcs Must Die! Unchained,427270
2015,MachineCraft,397100
2015,Toribash,248570
2015,The Escapists,298630
2015,Tiki Man,376920
2015,Bloody Trapland,257750
2013,Ultimate Doom,2280
2014,Insurgency,222880
2015,Fallout 4,377160
2013,Starbound,211820
2015,Rust,252490
2014,Team Fortress 2,440
2015,Banished,242920
2014,Long Live The Queen,251990
2015,Rocket League®,252950
2015,DARK SOULS™ II,236430
2015,Rocket League® - Revenge of the Battle-Cars DLC Pack,399730
2015,Left 4 Dead 2,550
2015,Fallout 4,377160
2013,Hotline Miami,219150
2014,Halo: Spartan Assault,277430
2014,Game Dev Tycoon,239820
2012,Mirror's Edge™,17410
2015,Team Fortress 2,440
2015,Yet Another Zombie Defense,270550
2015,Depth,274940
2014,Counter-Strike: Global Offensive,730
2014,Star Conflict,212070
2014,Pixel Piracy,264140
2014,Five Nights at Freddy's 2,332800
2015,Life is Strange - Episode 1,319630
2015,STAR WARS™ Jedi Knight - Jedi Academy™,6020
2015,Saints Row: The Third,55230
2014,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430
2015,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450
2014,Team Fortress 2,440
2015,Undertale,391540
2014,Left 4 Dead 2,550
2014,Team Fortress 2,440
2014,Team Fortress 2,440
2015,XCOM: Enemy Unknown,200510
2015,Counter-Strike: Global Offensive,730
2015,Realm of the Mad God,200210
2014,Killing Floor,1250
2014,One Finger Death Punch,264200
2014,South Park™: The Stick of Truth™,213670
2015,Eternal Senia,351640
2012,Terraria,105600
2014,Team Fortress 2,440
2013,Need For Speed: Hot Pursuit,47870
2014,Counter-Strike: Global Offensive,730
2015,Strife®,339280
2013,America's Army: Proving Grounds,203290
2015,Team Fortress 2,440
2015,Counter-Strike: Global Offensive,730
2013,Starbound,211820
2015,Team Fortress 2,440
2015,No More Room in Hell,224260
2014,Double Action: Boogaloo,317360
2014,Royal Quest,295550
2014,METAL SLUG 3,250180
2014,Heroes & Generals,227940
2014,Synergy,17520
2014,Fallen Earth Free2Play,113420
2015,BioShock® 2,8850
2015,Counter-Strike: Global Offensive,730
2014,Far Cry 3,220240
2012,Team Fortress 2,440
2014,Garry's Mod,4000
2014,Unturned,304930
2014,Gotham City Impostors Free to Play,206210
2015,DayZ,221100
2015,Team Fortress 2,440
2015,Geometry Dash,322170
2015,Trove,304050
2015,Team Fortress 2,440
2015,Counter-Strike: Global Offensive,730
2015,Black Mesa,362890
2015,Counter-Strike: Global Offensive,730
2015,ARK: Survival Evolved,346110
2015,Assassin’s Creed® Rogue,311560
2015,Geometry Dash,322170
2015,Team Fortress 2,440
2015,Anarchy Arcade,266430
2015,Magic Duels,316010
2015,Counter-Strike: Global Offensive,730
2015,Unturned,304930
2014,Team Fortress 2,440
2015,One Finger Death Punch,264200
2014,Team Fortress 2,440
2015,Team Fortress 2,440
2014,Robocraft,301520
2015,DayZ,221100
2015,Magic Duels,316010
2015,PlanetSide 2,218230
2015,Dirty Bomb®,333930
2015,Counter-Strike: Global Offensive,730
2015,Saints Row: The Third,55230
2015,Killing Floor 2,232090
2014,Saints Row IV,206420
2013,Left 4 Dead 2,550
2015,ARK: Survival Evolved,346110
2015,Project Starship,454890
2015,Evolve Stage 2,273350
2015,Counter-Strike: Global Offensive,730
2015,Counter-Strike: Global Offensive,730
2015,Pixel Galaxy,370480
2014,Source Filmmaker,1840
2014,Team Fortress 2,440
2015,One Way Heroics,266210
2015,One Finger Death Punch,264200
2015,METAL GEAR SOLID V: THE PHANTOM PAIN,287700
2015,Street Fighter V,310950
2015,Fallout 4,377160
2015,Age of Empires II HD,221380
2015,Medieval Engineers,333950
2015,Grand Theft Auto V,271590
2015,Far Cry® 4,298110
2015,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,222440
2015,Savant - Ascent,259530
2014,Stronghold Kingdoms,47410
2015,Counter-Strike: Global Offensive,730
2015,Hacknet,365450
2015,Tropico 5,245620
2014,Influent,274980
2015,Strife®,339280
2013,FTL: Faster Than Light,212680
2013,Realm of the Mad God,200210
2011,Team Fortress 2,440
2015,Garry's Mod,4000
2015,Starbound,211820
2015,Call of Duty®: Modern Warfare® 2,10180
2015,Rust,252490
2015,Emily is Away,417860
2015,Tom Clancy's Rainbow Six® Siege,359550
2015,Arma 3,107410
2014,Unturned,304930
2015,Portal,400
2015,Portal 2,620
2015,BattleBlock Theater®,238460
2015,"Star Wars: Battlefront 2 (Classic, 2005)",6060
2014,Team Fortress 2,440
2015,Counter-Strike: Global Offensive,730
2014,Epic Battle Fantasy 4,265610
2013,Poker Night at the Inventory,31280
2013,Garry's Mod,4000
2013,Counter-Strike: Source,240
2015,Team Fortress 2,440
2013,Sid Meier's Civilization® V,8930
2014,Unturned,304930
2014,No More Room in Hell,224260
2015,Warframe,230410
2014,Team Fortress 2,440
2014,Team Fortress 2,440
2014,Sid Meier's Civilization® V,8930
2015,DayZ,221100
2015,Arma 3,107410
2014,Company of Heroes 2,231430
2015,Just Cause™ 3,225540
2015,Grand Theft Auto V,271590
2013,Call of Duty® 4: Modern Warfare®,7940
2013,Call of Duty®: Modern Warfare® 2,10180
2013,Arma 2,33900
2015,The Walking Dead: Season 2,261030
2015,Medieval II: Total War™,4700
2015,Trove,304050
2015,Garry's Mod,4000
2015,Miscreated,299740
2014,Counter-Strike: Global Offensive,730
2015,Team Fortress 2,440
2015,Slime Rancher,433340
2014,Team Fortress 2,440
2015,Garry's Mod,4000
2014,Kerbal Space Program,220200
2014,The Forest,242760
2015,Dead Realm,352460
2015,theHunter: Primal,322920
2015,Call of Duty®: Black Ops II - Aqua Personalization Pack,234792
2014,Rust,252490
2015,Shmadow,397570
2014,Left 4 Dead 2,550
2014,Saints Row IV,206420
2013,Call of Duty®: Modern Warfare® 2,10180
2015,The Forest,242760
2014,Unturned,304930
2015,Fragmented,441790
2014,Rust,252490
2013,Garry's Mod,4000
2013,Terraria,105600
2014,Counter-Strike: Global Offensive,730
2014,My Riding Stables: Life with Horses,276340
2015,Heroes & Generals,227940
2015,Unturned,304930
2015,Counter-Strike: Global Offensive,730
2015,Square's Route,448530
2015,Hexcells Infinite,304410
2015,Portal 2,620
2014,FaceRig,274920
2013,Starbound,211820
2015,Antichamber,219890
2013,Borderlands 2,49520
2012,Team Fortress 2,440
2015,Rocket League®,252950
2014,Counter-Strike: Source,240
2013,Awesomenauts - the 2D moba,204300
2015,Magicite,268750
2015,Grand Theft Auto V,271590
2015,Counter-Strike: Global Offensive,730
2013,AudioSurf,12900
2014,Robocraft,301520
2014,Counter-Strike: Global Offensive,730
2014,Unturned,304930
2015,WAKFU,215080
2015,Grand Theft Auto V,271590
2015,Counter-Strike: Global Offensive,730
2015,Homeworld Remastered Collection,244160
2015,American Truck Simulator,270880
2015,Just Cause 2,8190
2014,DayZ,221100
2013,Betrayer,243120
2015,Mad Max,234140
2014,Call of Juarez® Gunslinger,204450
2014,Brutal Legend,225260
2013,Spec Ops: The Line,50300
2014,Wolfenstein: The New Order,201810
2014,Left 4 Dead,500
2014,Team Fortress 2,440
2014,Borderlands 2,49520
2013,Left 4 Dead 2,550
2015,Saints Row IV,206420
2014,South Park™: The Stick of Truth™,213670
2015,Left 4 Dead 2,550
2014,Beatbuddy: Tale of the Guardians,231040
2014,The Plan,250600
2015,Heroes & Generals,227940
2015,DayZ,221100
2015,Saints Row IV,206420
2014,Medal of Honor™,47790
2015,Broken Age,232790
2012,Team Fortress 2,440
2011,Half-Life 2: Episode Two,420
2011,Half-Life 2: Episode One,380
2011,Half-Life 2,220
2010,Killing Floor,1250
2015,Romero's Aftermath,349700
2013,Call of Duty®: Ghosts,209160
2014,South Park™: The Stick of Truth™,213670
2014,Counter-Strike: Global Offensive,730
2014,Killing Floor,1250
2014,Garry's Mod,4000
2015,PAYDAY 2: Gage Chivalry Pack,401650
2012,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450
2015,Warframe,230410
2014,NEO Scavenger,248860
2015,Starbound,211820
2015,Counter-Strike: Global Offensive,730
2014,Prison Architect,233450
2015,Gear Up,214420
2015,Blender,365670
2015,Team Fortress 2,440
2015,Garry's Mod,4000
2015,Warhammer: End Times - Vermintide Sigmar's Blessing,419070
2015,METAL GEAR SOLID V: THE PHANTOM PAIN,287700
2014,PAYDAY™ The Heist,24240
2015,Nation Red,39800
2015,Terraria,105600
2014,Monaco: What's Yours Is Mine,113020
2014,Team Fortress 2,440
2015,DayZ,221100
2015,The Way of Life Free Edition,310370
2014,Get Off My Lawn!,260410
2015,Firewatch,383870
2015,Risk of Rain,248820
2014,Counter-Strike: Global Offensive,730
2014,Left 4 Dead 2,550
2014,Fable - The Lost Chapters,204030
2013,Team Fortress 2,440
2014,Unturned,304930
2015,The Forest,242760
2015,ArcheBlade™,207230
2014,Prototype™,10150
2015,Garry's Mod,4000
2015,Borderlands: The Pre-Sequel,261640
2014,Far Cry 3,220240
2015,Grand Theft Auto V,271590
2015,Brawlhalla,291550
2013,Just Cause 2: Multiplayer Mod,259080
2015,Paint the Town Red,337320
2015,Goat Simulator,265930
2015,Portal 2,620
2015,Counter-Strike: Global Offensive,730
2014,Call of Duty: World at War,10090
2015,Fallout 3: Game of the Year Edition,22370
2015,Sleeping Dogs: Definitive Edition,307690
2015,Killing Floor,1250
2014,Team Fortress 2,440
2014,Loadout,208090
2014,Blockland,250340
2015,Super Hexagon,221640
2015,ORION: Prelude,104900
2015,Terraria,105600
2014,World of Guns: Gun Disassembly,262410
2015,THE KING OF FIGHTERS XIII STEAM EDITION,222940
2014,Resident Evil 6 / Biohazard 6,221040
2014,DayZ,221100
2014,Garry's Mod,4000
2014,Cry of Fear,223710
2014,Double Action: Boogaloo,317360
2013,Just Cause 2: Multiplayer Mod,259080
2013,Omerta - City of Gangsters,208520
2015,Soldier Front 2,239660
2015,Unturned,304930
2015,Counter-Strike: Global Offensive,730
2015,Montaro,495890
2015,Elisa: The Innkeeper - Prequel,472680
2014,Garry's Mod,4000
2015,Goat Simulator,265930
2015,Putt-Putt® Joins the Parade,283920
2015,Team Fortress 2,440
2015,Putt-Putt® Goes to the Moon,294650
2014,Surgeon Simulator,233720
2015,Grand Theft Auto: San Andreas,12120
2015,Middle-earth™: Shadow of Mordor™,241930
2015,Youtubers Life,428690
2015,Saints Row: The Third,55230
2015,Counter-Strike: Global Offensive,730
2015,Baldur's Gate: Enhanced Edition,228280
2014,Wasteland 2: Director's Cut,240760
2015,The Binding of Isaac: Rebirth,250900
2015,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450
2015,Star Trek Online,9900
2014,FTL: Faster Than Light,212680
2013,Dishonored,205100
2015,Besiege,346010
2015,Stranded Deep,313120
2015,Starbound,211820
2014,Far Cry 3,220240
2014,Crysis,17300
2013,To the Moon,206440
2013,Batman™: Arkham Origins,209000
2013,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,218060
2012,PAYDAY™ The Heist,24240
2015,Team Fortress 2,440
2015,Stronghold Kingdoms,47410
2015,Kerbal Space Program,220200
2015,Monaco: What's Yours Is Mine,113020
2015,Terraria,105600
2015,Saints Row 2,9480
2015,FINAL FANTASY X/X-2 HD Remaster,359870
2013,Crusader Kings II,203770
2013,Left 4 Dead 2,550
2013,Just Cause 2: Multiplayer Mod,259080
2014,BioShock Infinite,8870
2014,Warframe,230410
2014,Batman: Arkham City - Game of the Year Edition,200260
2013,Far Cry® 2: Fortune's Edition,19900
2013,State of Decay,241540
2013,Half-Life 2,220
2014,SPORE™,17390
2015,Double Action: Boogaloo,317360
2014,Always Sometimes Monsters,274310
2014,Garry's Mod,4000
2015,Counter-Strike: Global Offensive,730
2015,fault - milestone two side:above,344770
2014,Fallout: New Vegas,22380
2015,Team Fortress 2,440
2015,Star Trek Online,9900
2014,Super Hexagon,221640
2014,Borderlands 2,49520
2014,Trials Fusion™,245490
2015,Stranded Deep,313120
2015,Emily is Away,417860
2015,WORLD END ECONOMiCA episode.01,269250
2015,Fallout 4,377160
2015,Counter-Strike: Global Offensive,730
2015,The Lord of the Rings Online™,212500
2015,ORION: Prelude,104900
2015,Midnight Club 2,12160
2015,Grim Dawn,219990
2015,Card Hunter,293260
2015,Chivalry: Medieval Warfare,219640
2015,Terraria,105600
2013,Team Fortress 2,440
2013,Realm of the Mad God,200210
2013,Dungeonland,218130
2015,Melody's Escape,270210
2015,Planetary Annihilation: TITANS,386070
2015,Sid Meier's Civilization® V,8930
2015,Tales from the Borderlands,330830
2014,PlanetSide 2,218230
2014,ORION: Prelude,104900
2014,Team Fortress 2,440
2011,Counter-Strike: Source,240
2012,The Binding of Isaac,113200
2012,Just Cause 2,8190
2012,Front Mission Evolved,43000
2011,Dungeons of Dredmor,98800
2011,Bastion,107100
2010,Alien Swarm,630
2010,Amnesia: The Dark Descent,57300
2014,South Park™: The Stick of Truth™,213670
2013,Desktop Dungeons,226620
2014,Counter-Strike: Global Offensive,730
2014,Terraria,105600
2015,Blacklight: Retribution,209870
2014,Fistful of Frags,265630
2015,The Binding of Isaac: Afterbirth,401920
2015,Assassin's Creed 2 Deluxe Edition,33230
2015,Team Fortress 2,440
2015,Clicker Heroes,363970
2015,ARMA: Cold War Assault,65790
2015,Warframe,230410
2015,Alien Swarm,630
2015,Spiral Knights,99900
2015,The Binding of Isaac: Rebirth,250900
2013,Starbound,211820
2015,Fishing Planet,380600
2015,Fallout: New Vegas,22380
2015,Kerbal Space Program,220200
2015,Dead Space™ 2,47780
2015,Garry's Mod,4000
2015,Arma 3,107410
2015,Fallout 4 Far Harbor,435881
2015,Fingerbones,391270
2015,Robocraft,301520
2015,Kingdom Rush,246420
2015,Endless Legend™,289130
2015,Dungeon of the Endless™,249050
2015,RWBY: Grimm Eclipse,418340
2015,Emily is Away,417860
2014,Team Fortress 2,440
2015,Warframe,230410
2015,Counter-Strike: Condition Zero,80
2015,Terraria,105600
2015,Hotline Miami,219150
2015,Call of Juarez® Gunslinger,204450
2015,Dying Light,239140
2015,Team Fortress 2,440
2015,Time Clickers,385770
2014,Eldritch,252630
2014,Mabinogi,212200
2015,Warframe,230410
2015,Garry's Mod,4000
2015,AdVenture Capitalist,346900
2012,Team Fortress 2,440
2015,Scrap Mechanic,387990
2015,Alien Swarm,630
2015,POSTAL 2,223470
2015,Portal 2,620
2015,Garry's Mod,4000
2015,Team Fortress 2,440
2015,Counter-Strike: Global Offensive,730
2014,Tomb Raider,203160
2014,Chivalry: Medieval Warfare,219640
2014,Magic 2014 — Duels of the Planeswalkers,213850
2014,Counter-Strike: Global Offensive,730
2015,Terraria,105600
2014,Left 4 Dead 2,550
2015,NotGTAV,369580
2014,Killing Floor,1250
2014,Team Fortress 2,440
2014,Geometry Wars: Retro Evolved,8400
2014,Fallen Earth Free2Play,113420
2015,Fallout 4,377160
2015,Blood Bowl 2,236690
2014,Team Fortress 2,440
2015,Heaven Island - VR MMO,400250
2015,The Promised Land,296240
2013,Half-Life 2: Deathmatch,320
2013,EVE Online,8500
2014,Endless Legend™,289130
2014,Call of Duty®: Black Ops II,202970
2014,The Witcher 2: Assassins of Kings Enhanced Edition,20920
2014,Goat Simulator,265930
2015,ARK: Survival Evolved,346110
2015,Unturned,304930
2015,From the Depths,268650
2015,Ace of Spades: Battle Builder,224540
2015,Chivalry: Medieval Warfare,219640
2015,Team Fortress 2,440
2015,Garry's Mod,4000
2015,Undertale,391540
2013,The Incredible Adventures of Van Helsing,215530
2015,DOOM,379720
2014,Saints Row: The Third,55230
2014,Borderlands: The Pre-Sequel,261640
2014,Counter-Strike: Global Offensive,730
2015,Team Fortress 2,440
2014,DayZ,221100
2015,Fallout: New Vegas,22380
2014,Garry's Mod,4000
2015,Trove,304050
2014,Fractured Space,310380
2015,Garry's Mod,4000
2015,Garry's Mod,4000
2015,Far Cry 3 - Blood Dragon,233270
2015,Warframe,230410
2015,Trove,304050
2014,FTL: Faster Than Light,212680
2015,Besiege,346010
2013,Arma 3,107410
2014,Monaco: What's Yours Is Mine,113020
2014,DayZ,221100
2015,Don't Starve: Shipwrecked,393010
2014,Loadout,208090
2013,Team Fortress 2,440
2015,Team Fortress 2,440
2014,Team Fortress 2,440
