año,developer
2015,Code}{atch
2014,"Expansive Worlds,Avalanche Studios"
2015,Entrada Interactive LLC
2015,Valve
2015,Facepunch Studios
2014,Cosmic Cow LLC
2015,Valve
2015,Torn Banner Studios
2015,Splash Damage
2015,Shumkov Dmitriy
2015,Smartly Dressed Games
2015,Valve
2015,Bohemia Interactive
2015,Hello Games
2015,Milestone S.r.l.
2015,Freejam
2015,Trion Worlds
2015,Gone North Games
2015,Kuno Interactive
2015,Valve
2015,Phosphor Games Studio
2014,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,"Ubisoft Paris,Red Storm Entertainment"
2015,Freejam
2013,Day 1 Studios
2013,Lukewarm Media
2014,Smartly Dressed Games
2015,Visual Concepts
2015,Shumkov Dmitriy
2015,Bohemia Interactive
2013,id Software
2015,Hello Games
2015,Facepunch Studios
2015,5Wolf
2015,Ubisoft
2015,Sauropod Studio
2015,Coffee Stain Studios
2012,Slant Six Games
2015,Jagex Limited
2015,"M2H,Blackmill Games"
2014,Reto-Moto
2014,Muse Games
2011,Broken Rules
2014,CCP
2015,Trion Worlds
2015,Paul Fisch
2015,Rockstar North
2015,Cherry Pop Games
2015,Konami Digital Entertainment
2015,Ubisoft Montreal
2015,WARTEAM
2015,Smartly Dressed Games
2015,Phosphor Games Studio
2014,Net Games Laboratory
2015,Facepunch Studios
2015,Valve
2015,Rockstar North
2015,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
2015,"Monochrome, Inc"
2015,Joycity
2015,777 Studios
2015,Facepunch Studios
2015,Valve
2014,Ubisoft
2014,Dead Mage
2015,FromSoftware
2014,Arrowhead Game Studios
2015,Torn Banner Studios
2014,Grey Havens
2014,Archive Entertainment
2015,Raptor Claw Games
2015,Bohemia Interactive
2015,Hello Games
2015,Paradox Development Studio
2014,Telltale Games
2015,Reto-Moto
2015,Bohemia Interactive
2014,Chucklefish
2015,Facepunch Studios
2013,City Interactive
2015,Facepunch Studios
2015,Valve
2014,Avalanche Studios
2014,Treyarch
2015,"Expansive Worlds,Avalanche Studios"
2014,Ubisoft
2015,Zenimax Online Studios
2015,Valve
2015,Valve
2015,Dodge Roll
2015,Freejam
2014,Edge of Reality
2015,"FromSoftware, Inc."
2014,Eugen Systems
2014,Freejam
2014,Handyman Studios
2015,Hello Games
2015,Eleon Game Studios
2015,"Comcept,Inti Creates"
2015,Lab Zero Games
2014,Ubisoft  Shanghaï
2015,Coffee Stain Studios
2015,Hello Games
2015,PIXOWL INC.
2014,Jagex Limited
2015,Valve
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Facepunch Studios
2015,Axolot Games
2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Hyper Hippo Games
2015,Entrada Interactive LLC
2014,"Expansive Worlds,Avalanche Studios"
2015,Facepunch Studios
2015,Bohemia Interactive
2015,G2CREW
2015,Bohemia Interactive
2014,Facepunch Studios
2015,"Noah System,Mgame"
2014,Wizarbox
2015,Harebrained Schemes
2015,Flying Helmet Games
2015,Silver Wish Games
2015,Hello Games
2015,Valve
2015,"FromSoftware, Inc."
2015,Freejam
2014,Ubisoft
2015,Ubisoft Montreal
2015,Valve
2014,Nexon
2015,Valve
2015,Treyarch
2015,Wild Games Studio
2015,Rocksteady Studios
2015,"Elias Viglione,Jussi Kukkonen"
2015,candyrocketstudio
2015,Avalanche Studios
2015,Smartly Dressed Games
2015,Valve
2014,Crytek
2014,"Masangsoft, Inc."
2015,Odin Game Studio
2015,Rockstar North
2015,Facepunch Studios
2015,Eidos Studio Hungary
2014,"Atari, Cubed Productions LLC"
2014,Valve
2015,Freejam
2015,Tripwire Interactive
2015,Hello Games
2015,New World Interactive
2015,Sven Co-op Team
2015,Raptor Claw Games
2014,Square Enix
2013,Valve
2015,"Expansive Worlds,Avalanche Studios"
2014,GameORE
2014,Archive Entertainment
2014,Team Psykskallar
2015,David OReilly
2014,TML Studios
2015,Funcom
2015,Valve
2015,Rail Slave Games
2015,CodeBrush Games
2014,Reality Pump Studios
2015,Facepunch Studios
2014,Jagex Limited
2015,Microblast Games
2014,Bugbear
2015,Reto-Moto
2015,Bohemia Interactive
2015,Hello Games
