developer,Negative,Neutral,Positive
07th Expansion,1,2,0
"10th Art Studio,Adventure Productions",0,1,1
10tons Ltd,0,0,1
11 bit studios,22,10,30
14° East,1,0,1
16bit Nights,1,0,0
17-BIT,1,0,1
1C Company,1,0,1
1C-Avalon,1,0,1
1C-SoftClub,1,0,1
1C: Maddox Games,3,0,6
1C:InoCo,1,0,3
22cans,0,1,2
24 Caret Games,0,0,1
2D BOY,1,0,6
2DArray,0,0,1
2DEngine.com,0,0,1
"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",0,0,1
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",14,20,45
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",0,0,3
"2K Boston,2K Australia",16,9,44
"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",0,0,6
"2K Czech,Feral Interactive (Mac)",5,13,25
2K Marin,5,2,7
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",4,2,11
2Play,4,2,5
2x2 Games,1,0,0
3 Sprockets,1,0,5
30.06 Studios Ltd,0,1,0
3000AD,1,0,0
"343 Industries,Vanguard Games",1,0,1
3909,17,16,45
3D Realms (Apogee Software),0,0,2
3f Interactive,0,0,2
4 I Lab,0,0,5
48h Studio,0,0,1
49 Games,0,1,0
4A Games,3,7,20
5 Bits Games,1,0,2
5 Lives Studios,0,0,1
5Wolf,6,2,3
5th Cell Media,13,10,19
773,0,0,1
777 Studios,2,0,1
8-Bit Studio,1,0,0
800 North and Digital Ranch,17,14,35
8888888 LABS,0,0,2
88mm,0,0,1
8monkey Labs,0,0,1
9heads Game Studios,5,2,7
@unepic_fran,3,0,3
A Crowd of Monsters,1,1,0
A Jolly Corpse,0,0,1
ACE MADDOX,0,0,1
ACE Team,3,2,9
ACQUIRE Corp.,3,3,2
AGC,1,1,2
ALICE IN DISSONANCE,0,0,4
ALLPlayer Group Ltd.,0,1,0
AMPLITUDE Studios,8,7,30
AZAMATIKA,0,1,0
Abbey Games,5,2,10
Above and Beyond Technologies,0,0,1
Abraham Carreola,1,0,0
Abrakam SA,0,0,2
Abstract Tree Studio,1,0,1
Abstraction Games,0,1,1
"Abstraction Games,WayForward",1,0,0
"Acceleroto, Inc.",0,0,1
Access Games,0,1,1
Acid Nerve,3,0,2
Actalogic,3,0,0
"Action Button Entertainment, LLC",0,1,0
Adam Foster,0,1,6
Aeon Dream Studios,0,0,1
Afterthought LLC,1,1,3
Airtight Games,2,1,9
Aivaras Klimas,0,0,1
Akakiy Petrushkin,0,1,1
"Akella,.dat",0,0,1
"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason",2,0,4
Alan Edwardes,4,3,24
Alan Zucconi,0,0,1
Alawar,0,0,2
Alawar Entertainment,0,0,1
Aldorlea Games,0,1,0
Aleksey Abramenko,1,2,1
Alex Zhang,0,1,0
Alexander Bruce,15,6,30
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",0,0,1
Alice &amp; Smith,0,0,1
Alien Pixel Studios,0,0,1
Alien Sync Interactive,0,0,1
Alientrap,2,2,6
Allen Dayan,0,0,1
Almost Human Games,3,0,6
Altar Games,0,2,0
Alternative Software Ltd,0,0,1
Amanita Design,0,0,8
"Amaranth Games, LLC",1,0,0
Amaterasu Software,0,0,1
Anarchy Enterprises,0,0,2
Andrew Gilmour,0,0,2
"AndrewMD5,Codeusa",0,1,1
Andrii Vintsevych,7,2,6
Andy Wallace,0,1,1
Angry Mob Games,0,0,1
Animation Arts,1,0,0
Animu Game,0,0,1
Anisoptera Games,2,0,3
Ankama Studio,1,1,6
Anothink,1,0,1
"Antanas Marcelionis,Renė Petrulienė",0,0,1
Anteater Games,0,1,0
Antonio Renna,1,0,1
Anvate Games,1,0,0
Apeiron,0,0,1
Aperture Tag Team,1,0,10
Aquiris Game Studio,1,0,1
Arachnid Games,0,0,2
Aratog LLC,0,0,1
Arc System Works,2,2,6
"Arcen Games, LLC",1,1,7
Archive Entertainment,11,8,20
Arkane Studios,21,26,81
Arkavi Studios,1,0,0
Arkedo,1,1,1
Armature Studio,1,0,0
Arrowhead Game Studios,24,30,53
Artefacts Studio,0,0,1
Artefacts Studios,1,0,0
Artery Games,1,4,4
Artifex Mundi,2,0,1
Artifice Studio,1,1,2
Ascaron,2,0,0
Ascaron Entertainment ltd.,1,0,1
Ascension Entertainment LLC,2,3,1
Aspyr,1,0,3
Aspyr Studios,4,1,3
"Aspyr,Quantic Dream (original release)",1,0,0
Atapki,0,0,1
"Atari, Cubed Productions LLC",7,2,10
Atelier 801,4,11,11
Atom Republic,1,0,0
AtomicTorch Studio,0,0,1
Atum Software,0,0,1
Atypical Games,0,0,1
Aurelien Regard,0,0,1
Austin Handle,0,0,1
"Autobotika,Game Nation Inc",1,0,0
Avalanche Software,1,1,1
